,keywords,relevance,paper
854,data,0.0894,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
95,electrical engineering,0.0893, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1493,binary events,0.0892,Neuromorphic computing for attitude estimation onboard quadrotors
1550,optimization problem,0.0889,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1036,square deviations,0.0889,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
294,corresponding author,0.0887,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1094,state,0.0887,Goal-oriented adaptive sampling under random field modelling of response probability distributions
57,fax,0.0885,Audiogram Digitization Tool for Audiological Reports
172,definitions,0.0884,A biology-informed similarity metric for simulated patches of human cell membrane
1157,electrical,0.0883,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
994,global variables,0.0883,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1454,optim,0.0883,Ant colony optimization with semi random initialization for nurse rostering problem
1053,vpa changes,0.0882,Predictive Hybrid Autoscaling for Containerized Applications
1413,ascendas it park,0.0877,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1656,title,0.0871,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
1551,human curiosity,0.0866,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1015,creative consilience program,0.0865,Multi-Dimensional Data Compression and Query Processing in Array Databases
1475,creative commons attribution,0.0864,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
1552,other approach,0.0861,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
813,theory,0.0859,superconducting nanowire-based architecture for neuromorphic computing
114,sized enterprises,0.0858," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1293,germany,0.0856,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
755,sneak,0.0852,Convolutional neural networks with radio-frequency spintronic nano-devices
416,published,0.0849,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1217,new challenges,0.0848,Physical layer security techniques for data transmission for future wireless networks
1634,qingpeng,0.0847,Learning torsional eye movements through active efficient coding
35,whole set,0.0846,Improving parametric neural networks for highenergy physics (and beyond)
612,transformation ratio,0.0843,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
558,reasons,0.0841,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1037,december,0.084,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
115,october,0.0834," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
194,arbitrary area,0.0828,Carbon Footprint vs Energy Optimization in IoT Network Deployments
938,vojin vukadinović1,0.0827,Management of tools in digital manufacturing - A case study
376,ewha womans university,0.0826,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1476,way,0.0825,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
1315,disease prevention,0.0824,Implicit privacy preservation: a framework based on data generation
1513,weight update steps,0.0823,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
976,a52 devices,0.0822,Method for Profile-Guided Optimization of Android Applications Using Random Forest
36,hepmass,0.0815,Improving parametric neural networks for highenergy physics (and beyond)
657,cppm,0.0813,Learning tree structures from leaves for particle decay reconstruction
1455,set,0.0813,Ant colony optimization with semi random initialization for nurse rostering problem
536,nonlinear dynamic analysis,0.0809,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
237,review,0.0809,Detection of Cluster Anomalies With ML Techniques
890,gas pressure,0.0806,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
136,wuhan,0.0806," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
995,marco rivera,0.0805,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
276,new ra approach,0.0805,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1334,electron beam feedback,0.0804,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1177,november,0.0799,Concretely efficient secure multi-party computation protocols: survey and more
295,posterior probability,0.0798,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1278,convenience,0.0797,Secure transmission technology based on direct modulation with random channel characteristics
377,electrical engineering,0.0796,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1316,certain probability,0.0795,Implicit privacy preservation: a framework based on data generation
954,matec web,0.0794,How to apply the ERP model for Smart Mining?
735,andre lukas3,0.0793,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
277,review,0.0792,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1372,strength,0.0791,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
58,several thousands,0.079,Audiogram Digitization Tool for Audiological Reports
1054,dai vu,0.0785,Predictive Hybrid Autoscaling for Containerized Applications
595,pso,0.0783,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1237,accepted,0.0783,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
475,multiple places,0.0782,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
12,index terms machine learning,0.0774,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1578,negligible impact,0.0772,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
173,ras,0.0771,A biology-informed similarity metric for simulated patches of human cell membrane
116,atanassov,0.077," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1115,open access article,0.0768,Box-constrained optimization for minimax supervised learning
1373,low thermal diffusivity,0.0768,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1494,julien dupeyroux,0.0767,Neuromorphic computing for attitude estimation onboard quadrotors
1431,data,0.0766,Development of an advanced MES for the simulation and optimization of industry 4.0 process
314,target properties,0.0765,Metric learning for kernel ridge regression: assessment of molecular similarity
454,trol policies,0.0765,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
417,lawrence spracklen,0.0764,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
211,surgical sciences,0.0763,Neural network training with highly incomplete medical datasets
137,digital object identifier,0.0756," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1317,accepted,0.0756,Implicit privacy preservation: a framework based on data generation
855,mean absolute sum,0.0755,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
955,concept,0.0753,How to apply the ERP model for Smart Mining?
773,effectiveness,0.0753,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
255,technical constrains,0.0752,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
814,cambridge,0.0749,superconducting nanowire-based architecture for neuromorphic computing
559,ground density,0.0745,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
418,even weeks,0.0742,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1055,time,0.074,Predictive Hybrid Autoscaling for Containerized Applications
1495,citation,0.0735,Neuromorphic computing for attitude estimation onboard quadrotors
296,ory loss,0.073,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1414,multidisci,0.0729,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1178,accepted,0.0728,Concretely efficient secure multi-party computation protocols: survey and more
1179,following function,0.0727,Concretely efficient secure multi-party computation protocols: survey and more
138,average solution quality,0.0726," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1374,sri sivasubramaniya nadar college,0.0723,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
677,luis morales,0.0723,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
315,doi,0.072,Metric learning for kernel ridge regression: assessment of molecular similarity
59,creative commons attribution,0.0717,Audiogram Digitization Tool for Audiological Reports
1657,lemont,0.0717,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
891,full factorial experiments,0.0716,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
238,ter,0.0714,Detection of Cluster Anomalies With ML Techniques
1016,synopsis,0.0713,Multi-Dimensional Data Compression and Query Processing in Array Databases
96,creative commons attribution,0.0709, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1375,costs,0.0707,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1335,creative commons attribution,0.0707,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1318,abstract,0.0705,Implicit privacy preservation: a framework based on data generation
77,california,0.0698,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1279,china science publishing,0.0694,Secure transmission technology based on direct modulation with random channel characteristics
892,technological education,0.0689,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1319,recent years,0.0682,Implicit privacy preservation: a framework based on data generation
1238,june,0.0681,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
13,creative commons attribution,0.068,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1456,week,0.0678,Ant colony optimization with semi random initialization for nurse rostering problem
1514,limited cycling endurance,0.0677,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
239,date,0.0675,Detection of Cluster Anomalies With ML Techniques
756,reason,0.0674,Convolutional neural networks with radio-frequency spintronic nano-devices
1038,received,0.0669,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1496,series,0.0669,Neuromorphic computing for attitude estimation onboard quadrotors
636,other nodes,0.0667,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
774,sklp,0.0667,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
977,important part,0.0666,Method for Profile-Guided Optimization of Android Applications Using Random Forest
455,strong constraint,0.0664,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
212,relevant information,0.0663,Neural network training with highly incomplete medical datasets
1355,height scalability,0.0662,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
14,state,0.0662,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1497,limited training dataset,0.0662,Neuromorphic computing for attitude estimation onboard quadrotors
1136,baptiste caillau,0.066,Multilevel minimization for deep residual networks
15,mro function,0.0659,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
195,universidad politécnica,0.0657,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1017,value,0.0653,Multi-Dimensional Data Compression and Query Processing in Array Databases
297,united arab emirates,0.0653,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
875,paths,0.0652,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1658,mach,0.0651,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
37,study,0.0651,Improving parametric neural networks for highenergy physics (and beyond)
775,cbicr,0.0646,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
575,additive combinations,0.0642,Non-negative Matrix Factorization for Dimensionality Reduction
16,crg,0.064,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
637,slow convergence,0.064,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1336,review,0.0638,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
736,states,0.0638,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
776,september,0.0635,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
213,validation,0.0635,Neural network training with highly incomplete medical datasets
836,long history,0.0634,Deep learning via message passing algorithms based on belief propagation
1614,primary categories,0.0633,Massively scalable wavelength diverse integrated photonic linear neuron
795,bit,0.0631,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
399,practical applications,0.0631,Subaging in underparametrized deep neural networks 
1596,universidade estadual paulista,0.0626,Particle-based fast jet simulation at the LHC with variational autoencoders
335,instant installation,0.0625,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1553,stanford university,0.0621,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
355,studied articles,0.0621,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
576,robustness,0.0619,Non-negative Matrix Factorization for Dimensionality Reduction
1477,smreto,0.0616,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
356,swabi,0.0614,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
298,september,0.0613,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
537,cancerous origin,0.0612,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1095,smai,0.0607,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1078,résumé,0.0604,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
638,meysam hashemi,0.0604,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
914,node fe,0.0603,Digital Twins for Micro Machining
737,different popular constructions,0.0596,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1515,entire life span,0.0594,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
299,review,0.0594,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1415,selamani subramani2,0.0592,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
78,aaaa,0.0591,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1239,corresponding author,0.059,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1516,march,0.0589,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
1116,antipolis,0.0588,Box-constrained optimization for minimax supervised learning
856,reicent commercial introduction,0.0586,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
316,reliable tools,0.0584,Metric learning for kernel ridge regression: assessment of molecular similarity
378,tlp,0.0583,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
156,delft university,0.0583, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
815,lower power consumption,0.058,superconducting nanowire-based architecture for neuromorphic computing
1376,acceptable regions,0.0579,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
336,simulation results,0.0579,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
456,annika wolff,0.0576,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
893,orifice diameter,0.0576,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
436,doi,0.0571,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1416,beta cae systems,0.0567,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1198,other words,0.0566,Problems and solutions regarding generalized functional safety in cyberspace
978,digital object identifier,0.0563,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1517,best case,0.0557,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
757,licence,0.0557,Convolutional neural networks with radio-frequency spintronic nano-devices
857,associate editor,0.0556,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
498,constant delay,0.0554,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
17,current version,0.0551,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
738,considerable amount,0.0549,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
658,mathematical equation,0.0549,Learning tree structures from leaves for particle decay reconstruction
639,way,0.0548,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
613,undesirable dg impact,0.0543,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
1256,china science publishing,0.0541,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1554,benchmarks,0.054,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1597,amount,0.0539,Particle-based fast jet simulation at the LHC with variational autoencoders
915,study,0.0539,Digital Twins for Micro Machining
1457,abstract,0.0539,Ant colony optimization with semi random initialization for nurse rostering problem
1394,strong impact,0.0539,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
379,various kinds,0.0537,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
979,corresponding author,0.0537,Method for Profile-Guided Optimization of Android Applications Using Random Forest
476,set,0.0536,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
717,theresienstr,0.0534,A duality connecting neural network and cosmological dynamics
858,october,0.0533,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
678,free workspace,0.0532,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1635,creative commons,0.0531,Learning torsional eye movements through active efficient coding
816,like properties,0.0525,superconducting nanowire-based architecture for neuromorphic computing
659,received,0.0524,Learning tree structures from leaves for particle decay reconstruction
1615,licence,0.0521,Massively scalable wavelength diverse integrated photonic linear neuron
1218,khartoum,0.0518,Physical layer security techniques for data transmission for future wireless networks
1219,hainan university,0.0516,Physical layer security techniques for data transmission for future wireless networks
1079,open access article,0.0507,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1117,convergence,0.0505,Box-constrained optimization for minimax supervised learning
337,creative commons attribution,0.0497,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
499,creative commons attribution license,0.0496,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
338,date,0.0495,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1518,received,0.0488,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
1294,note,0.0487,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
79,qifan zhang,0.0487,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
817,received,0.0484,superconducting nanowire-based architecture for neuromorphic computing
916,thanks,0.0482,Digital Twins for Micro Machining
1395,xr,0.0481,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
419,ca,0.0481,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
577,nose,0.0478,Non-negative Matrix Factorization for Dimensionality Reduction
457,study,0.0478,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
174,center,0.0477,A biology-informed similarity metric for simulated patches of human cell membrane
1039,national institute,0.0476,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1432,neuilly,0.0475,Development of an advanced MES for the simulation and optimization of industry 4.0 process
894,travel speed,0.0474,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
357,mcdm,0.0474,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
157,received,0.0472, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1519,author,0.0459,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
917,vytautas ostasevicius1,0.0458,Digital Twins for Micro Machining
1498,processing time,0.0449,Neuromorphic computing for attitude estimation onboard quadrotors
876,galati,0.0448,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
97,iztok fister jr,0.0444, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
214,subsets,0.0437,Neural network training with highly incomplete medical datasets
317,alternative measures,0.0435,Metric learning for kernel ridge regression: assessment of molecular similarity
1158,current version,0.0435,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1096,baptiste caillau,0.0428,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1018,lsst,0.0427,Multi-Dimensional Data Compression and Query Processing in Array Databases
158,abhairaj singh3,0.0425, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
758,received,0.0423,Convolutional neural networks with radio-frequency spintronic nano-devices
477,open api,0.0421,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
796,narayan bhusal1,0.0419,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
437,california,0.0415,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1097,rd,0.0415,Goal-oriented adaptive sampling under random field modelling of response probability distributions
18,efﬁciency,0.0413,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
895,thermo,0.0407,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
458,creative commons attribution,0.0407,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1478,current version,0.0407,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
596,ga,0.0403,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1137,fact,0.0402,Multilevel minimization for deep residual networks
956,factor,0.0402,How to apply the ERP model for Smart Mining?
614,difference,0.0402,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
215,june,0.04,Neural network training with highly incomplete medical datasets
1118,yi,0.0397,Box-constrained optimization for minimax supervised learning
519,newer definition,0.0393,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
996,sets,0.0392,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1616,standard complementary metal,0.0387,Massively scalable wavelength diverse integrated photonic linear neuron
1555,iop publishing ltd,0.0386,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1019,national,0.0386,Multi-Dimensional Data Compression and Query Processing in Array Databases
1257,original work,0.0386,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1159,abstract,0.0384,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1636,august,0.0381,Learning torsional eye movements through active efficient coding
538,av,0.0379,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1119,dependencies,0.0378,Box-constrained optimization for minimax supervised learning
877,start,0.0376,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
997,nsw,0.0373,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1056,upper limit,0.0372,Predictive Hybrid Autoscaling for Containerized Applications
1556,data distribution,0.0371,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
216,yu,0.0371,Neural network training with highly incomplete medical datasets
1433,theoretical point,0.0369,Development of an advanced MES for the simulation and optimization of industry 4.0 process
777,angle,0.0369,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
117,more scholars,0.0369," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1557,june,0.0361,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1138,august,0.0358,Multilevel minimization for deep residual networks
139,associate editor,0.0357," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
818,original content,0.0356,superconducting nanowire-based architecture for neuromorphic computing
1579,received,0.0355,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
578,creative commons attribution license,0.0353,Non-negative Matrix Factorization for Dimensionality Reduction
837,iop publishing ltd,0.0349,Deep learning via message passing algorithms based on belief propagation
615,node,0.0345,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
1396,january,0.0345,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1499,received,0.0345,Neuromorphic computing for attitude estimation onboard quadrotors
1397,creative commons attribution license,0.034,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1617,columbia university,0.0338,Massively scalable wavelength diverse integrated photonic linear neuron
1356,power consumption,0.0335,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1337,tion,0.0335,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
838,disorder averages,0.0334,Deep learning via message passing algorithms based on belief propagation
118,tional dimensions,0.0334," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
38,licence,0.0332,Improving parametric neural networks for highenergy physics (and beyond)
878,dunarea de jos,0.0329,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
539,fadoua bahja2,0.0313,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
579,convergence,0.0309,Non-negative Matrix Factorization for Dimensionality Reduction
797,ciudad de méxico,0.0309,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
693,md runs,0.0308,Quantum neural networks force fields generation
1434,multidisci,0.0305,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1435,small series,0.0304,Development of an advanced MES for the simulation and optimization of industry 4.0 process
196,large group,0.0304,Carbon Footprint vs Energy Optimization in IoT Network Deployments
159,compact modelling,0.0298, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1417,vit university,0.0294,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
694,demanding strategies,0.0291,Quantum neural networks force fields generation
1637,clear water bay,0.0288,Learning torsional eye movements through active efficient coding
695,other hand,0.0287,Quantum neural networks force fields generation
478,creative commons attribution license,0.0286,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
197,similar topologies,0.0285,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1458,np,0.0285,Ant colony optimization with semi random initialization for nurse rostering problem
1598,cartesian coordinate system,0.0277,Particle-based fast jet simulation at the LHC with variational autoencoders
739,upper mountjoy campus,0.0274,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1258,accepted,0.0269,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
896,matec web,0.0268,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
175,helgi,0.0265,A biology-informed similarity metric for simulated patches of human cell membrane
438,received,0.0261,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
957,open access article,0.026,How to apply the ERP model for Smart Mining?
1139,elliptic partial diﬀerential equations,0.0256,Multilevel minimization for deep residual networks
479,software convergence engineering,0.0252,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1357,licence,0.0246,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1599,received,0.0234,Particle-based fast jet simulation at the LHC with variational autoencoders
358,initial values,0.0232,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1098,creative commons attribution license,0.0229,Goal-oriented adaptive sampling under random field modelling of response probability distributions
998,centros de investigación,0.0228,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
256,straightforward solution,0.0226,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1618,received,0.0219,Massively scalable wavelength diverse integrated photonic linear neuron
958,long time,0.0219,How to apply the ERP model for Smart Mining?
1459,fulﬁl,0.0213,Ant colony optimization with semi random initialization for nurse rostering problem
778,extra modules,0.0209,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
318,received,0.0197,Metric learning for kernel ridge regression: assessment of molecular similarity
1436,today,0.0194,Development of an advanced MES for the simulation and optimization of industry 4.0 process
718,continuous limit,0.0189,A duality connecting neural network and cosmological dynamics
176,received,0.0185,A biology-informed similarity metric for simulated patches of human cell membrane
1418,efﬁcient,0.018,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
